modelo,tamanho_treino,auc_val_media,auc_val_std,auc_treino_media,auc_treino_std
Regressão Logística,120,0.991,0.0056,0.9991,0.0005
Regressão Logística,274,0.9926,0.0044,0.9976,0.0003
Regressão Logística,428,0.9926,0.0038,0.9949,0.0011
Regressão Logística,582,0.9928,0.0038,0.9945,0.0009
Regressão Logística,737,0.9931,0.0037,0.9939,0.0009
Regressão Logística,891,0.9932,0.0035,0.9947,0.0008
Regressão Logística,1045,0.9931,0.0036,0.9941,0.001
Regressão Logística,1200,0.9931,0.0038,0.9943,0.0009
Random Forest,120,0.9848,0.0077,1.0,0.0
Random Forest,274,0.9881,0.0054,0.999,0.0004
Random Forest,428,0.988,0.0048,0.998,0.0005
Random Forest,582,0.9894,0.0043,0.9974,0.0004
Random Forest,737,0.9895,0.0045,0.9969,0.0006
Random Forest,891,0.9897,0.0042,0.9968,0.0003
Random Forest,1045,0.9903,0.0043,0.9957,0.0007
Random Forest,1200,0.9904,0.0039,0.9959,0.0005
